Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
BARRE (Mlle Henriette);, née à Pommeréval. — Boulevard Beauvoisine, 91, Rouen.;26;Marine.;;
BARRIAS (Félix-Joseph);, né à Paris, élève de Léon Cogniet, prix de Rome, 184, méd, 32, cl., 18475 1re cl. 1851, 2° cl. 1855., E. L. :. X, 1859, méd. or. 1889, E. U. — Rue de Bruxelles, 34, Paris.;27;Repos pendant la séance.;;
BARTHALOT (Marius);, né à Marseille, élève de Cabanel et de MM. Bonnat et Saintpierre. — Rue Alfred-Stevens, 3, Paris.;28;Route d’Orange à Sorgues ;(Vaucluse).;
BASCHET (Marcel);, né à Gagny (Seine-et-Oise) élève de Boulanger et de M. Lefebvre, prix de Rome, 1883, 2e méd., Paris, 1889, méd., Anvers, 1894, méd. d’hon., Lyon, 1894. — Rue de l’Abbaye, 12, Paris.;29;Portrait de Mme Leroux-Ribeyre.;;
BATON (Zacharie-Constant-Théodore);, né à Arras, élève, de G. Boulanger, et de MM. J. Lefebvre et G. Colin. — Rue de Navarin, 12, Paris.;30;Le repos du jardinier.;;
BATON (Zacharie-Constant-Théodore);, né à Arras, élève, de G. Boulanger, et de MM. J. Lefebvre et G. Colin. — Rue de Navarin, 12, Paris.;31;Etude : femme nue.;;
BAUDOUIN (Paul-Albert);, né à Rouen, élève de Gleyre, de Elie Delaunay et de M. Puvis de Cha vannes, méd. 3e cl., Paris, 1882, 2e cl., 1886, méd. or. 1889 E. U. , H. C., 2g. — Rue de Rennes, n° 121, Paris.;32;Sur l’eau.;;
BAUDOUIN (Paul-Albert);, né à Rouen, élève de Gleyre, de Elie Delaunay et de M. Puvis de Cha vannes, méd. 3e cl., Paris, 1882, 2e cl., 1886, méd. or. 1889 E. U. , H. C., 2g. — Rue de Rennes, n° 121, Paris.;33;Sur la route de Doboka ;(Hongrie).;
BAUDRY (Bernard);, né à Rouen, élève de MM. Lebel et Zacharie. — Rue de la Motte, 3, Rouen.;34;Le repos du modèle.;;
BAUDRY (Bernard);, né à Rouen, élève de MM. Lebel et Zacharie. — Rue de la Motte, 3, Rouen.;35;Etude.;;
BAYARD-KATE (Mlle),; née en Amérique, élève de MM. Carolus Duran et Henner. — Rue Mazarine, n°́ 9, Paris.;36;Tête d’étude;;
BAYE (Pierre-Alphonse);, né à Paris , méd. or et arg., Angers, Lille, Versailles, Langres, Narbonne, Ar cachon, Tours. — Rue Charles V, 23, Paris.;37;Chez un avoeat.;;
BAYE (Pierre-Alphonse);, né à Paris , méd. or et arg., Angers, Lille, Versailles, Langres, Narbonne, Ar cachon, Tours. — Rue Charles V, 23, Paris.;38;Petits bouquins.;;
BÉNARD,; (Romain), né au Havre, élève de E. Lefebvre et de M. L. Le Poittevin. — Rue du Champdes-Oiseaux, 83, Rouen.;39;Le petit bras de la Seine à Freneuse ;(Seine-et-Oise).;
BÉNARD,; (Romain), né au Havre, élève de E. Lefebvre et de M. L. Le Poittevin. — Rue du Champdes-Oiseaux, 83, Rouen.;40;Pèches.;;
BENNER (Jean);, né à Mulhouse, élève de Pils, méd. 25 cl., 1872, méd. br. F. H. 1889, H. C., x,;1894;Boulevard de Clichy, 71, Paris.;71, Paris.;
BENNER (Jean);, né à Mulhouse, élève de Pils, méd. 25 cl., 1872, méd. br. F. H. 1889, H. C., x,;41;Frisson d’automne.;;
BENNER (Jean);, né à Mulhouse, élève de Pils, méd. 25 cl., 1872, méd. br. F. H. 1889, H. C., x,;42;Pavots.;;
BENOIST-LÉVY (Jules);, né à Paris, élève de MM.Jules Lefebvre et Doucet. — Rue Saint-André-des-Arts, n° 37, Paris.;43;Combat à Tinténiac.;;
BENOIST-LÉVY (Jules);, né à Paris, élève de MM.Jules Lefebvre et Doucet. — Rue Saint-André-des-Arts, n° 37, Paris.;44;Porte du Jersheral, Dinan.;Dinan.;
BERGERET (Pierre-Denis);, né à Villeparisis (Seine- et-Marne), élève. de E. Isabey, méd. 3e cl., 1875, 2° cl., 1877, 1889 E. U. —  Rue Victor-Macé, 26, Paris.;45;Figues.;;
BERGERET (Pierre-Denis);, né à Villeparisis (Seine- et-Marne), élève. de E. Isabey, méd. 3e cl., 1875, 2° cl., 1877, 1889 E. U. —  Rue Victor-Macé, 26, Paris.;46;Fruits.;;
BERTHÉLEMY (Valentin-Émile);, né à Rouen, élève de son père, de Boulanger et de M. Gérome , M. H., Dijon, Caen, Toulouse , méd. arg., Londres, Périgueux, méd. verm., Evreux. — Rue de la Gare, n° 10, Bernières-sur-Mer (Calvados).;47;La neige au bord de la mer.;;
BERTHÉLEMY (Valentin-Émile);, né à Rouen, élève de son père, de Boulanger et de M. Gérome , M. H., Dijon, Caen, Toulouse , méd. arg., Londres, Périgueux, méd. verm., Evreux. — Rue de la Gare, n° 10, Bernières-sur-Mer (Calvados).;48;Le forgeron.;;
BERTHELOT (Ferdinand);, né à Blainville-Crèvon, élève de MM. Lebel, Zacharie et Gérome. — A Blainville-Crevon.;49;Portrait de ma mère.;;
BERTHELOT (Ferdinand);, né à Blainville-Crèvon, élève de MM. Lebel, Zacharie et Gérome. — A Blainville-Crevon.;50;Portrait de l’auteur.;;
BERTON (Paul-Emile);, né à Chartrettes (Seine-etMarne), élève de Delaunay et de MM. Allongé et Puvis de Chavannes. — Rue Mozart, 9, Paris.;51;La cueillette de pommes.;;
BERTON (Paul-Emile);, né à Chartrettes (Seine-etMarne), élève de Delaunay et de MM. Allongé et Puvis de Chavannes. — Rue Mozart, 9, Paris.;52;Retour des pécheurs à Cancale.;;
BESNUS (Michel-Amédée);, né à Paris, élève de Léon Cogniet et Jules Dupré, méd. br., Rouen, 1864, plusieurs méd. à Nice, E. U. de Londres, 1874, etc., A x, 1891. — Rue Mayet, 24, Paris.;53;Un orage sur la Marne à Samméroy, près la Ferté- sous-Jouarre.;près la Ferté- sous-Jouarre.;
BESSOY (Jules-Gustave);, né à Paris, élève de Elie Delaunay et de MM. G. Moreau et J. Blanc. — Rue du Sentier, 20, Paris.;54;Le Christ consolateur. Prêt de l’Etat.;;
BICOT (Mme Gabrielle de) élève de Baudit ;— Rue Cardinet, 18, Paris.;55;Tête de vieille femme.;;
BIVA (Henri) né à Paris,; elève de MM. A. Nozal et Léon Tanzi, M. H., Paris, 1892, méd. verm. de la Socièté d’Horticulture, Rouen, 1893, méd. 3° cl., Paris, 1895. — Rue du Château-d’Eau, 72, Paris.;56;Le soir.;;
BIVA (Henri) né à Paris,; elève de MM. A. Nozal et Léon Tanzi, M. H., Paris, 1892, méd. verm. de la Socièté d’Horticulture, Rouen, 1893, méd. 3° cl., Paris, 1895. — Rue du Château-d’Eau, 72, Paris.;57;Roses et bluets. Voir aux Dessins.;;
BIVA (Paul);, né à Paris , méd, Paris, 1893. — Rue d’Hauteville, 12, Paris.;58;Roses.;;
BIVA (Paul);, né à Paris , méd, Paris, 1893. — Rue d’Hauteville, 12, Paris.;59;Pivoines. Voir aux Dessins;;
BOISLECOMTE (Edmond de);, né à Arras, élève de MM. J.-P. Laurens et Rivey, méd. verm., arg., Caen, Amiens, Rouen.— A Mondétour, près Blainville (Seine-Inférieure), et rue Poncelet, 26, Paris.;60;Cabrera.;;
BOISLECOMTE (Edmond de);, né à Arras, élève de MM. J.-P. Laurens et Rivey, méd. verm., arg., Caen, Amiens, Rouen.— A Mondétour, près Blainville (Seine-Inférieure), et rue Poncelet, 26, Paris.;61;Espagnol.;;
BOMBLED (Charles).; — Rue Pérou, 27, Paris.;62;Hussards de Louis XIV.;;
BOMDARD (Maurice),; élève de G Boulanger et de M. J. Lefebvre , 3° méd., Paris, 1880, 2e méd., Paris, E. U. 1889, 2°e, méd., Paris, 1890, H. C. — Rue A. de Neuville, 39, Paris.;63;Un marchand de bibelots à Venise.;;
BOMDARD (Maurice),; élève de G Boulanger et de M. J. Lefebvre , 3° méd., Paris, 1880, 2e méd., Paris, E. U. 1889, 2°e, méd., Paris, 1890, H. C. — Rue A. de Neuville, 39, Paris.;64;La, place, de l’oasis de Sidi-Ocla, près Biskra;place, de l’oasis de Sidi-Ocla, près Biskra;
