Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
LEBOEUF.;;81;Portrait du pape Pie IX.;;
LEBOEUF.;;82;Un Capucin, ;(étude).;
LEFORESTIER.;;82;Trois cadres de dessins, ;(même numéro). LÉVY ( Gustave ), graveur, rue St-Antoine, 32, à Paris.;
LEFORESTIER.;;83;Le roi des Belges, gravé sur acier.;gravé sur acier.;
LEFORESTIER.;;84;Rembrandt.;;
LEFORESTIER.;;85;Edelinck, graveur sous Louis XIV.;graveur sous Louis XIV.;
MÉNESSIER (Auguste),; peintre à Metz.;86;Effet de clair de lune.;;
MÉNESSIER (Auguste),; peintre à Metz.;87;Effet du soir.;;
MÉNESSIER (Auguste),; peintre à Metz.;88;Souvenir d’une chapelle, sur les bords de la Moselle.;sur les bords de la Moselle.;
MÉNESSIER (Auguste),; peintre à Metz.;89;Cadre de cinq dessins, ;(manière noire).;
MÉNESSIER (Auguste),; peintre à Metz.;90;Trois autres cadres, idem, ;idem, (même numéro).;
MÉNESSIER (Auguste),; peintre à Metz.;91;Cadre de deux sépias.;;
MOYSE.;;92;Étude de vieille femme.;;
MOYSE.;;93;Portrait de M. ***.;;
MOYSE.;;94;Id. de Mme. ***.;;
MOYSE.;;95;Id. de;;
Mme M.,; élève de M. Pierre.;96;Aquarelle. Copie d’un tableau à l’huile, sur un sujet tiré de Pévéril du Pic, roman de Walter-Scott. Julien et Alice effrayés de l’apparition de la reine de l’ile de Man.;sur un sujet tiré de Pévéril du Pic, roman de Walter-Scott. Julien et Alice effrayés de l’apparition de la reine de l’ile de Man.;
Mlle MOLLET (Éléonore),; rue de la Monnaie, 7.;97;Portrait de Mme J., ;( pastel ).;
Mlle MOLLET (Éléonore),; rue de la Monnaie, 7.;98;Id. de M. de M., idem.;idem.;
Mlle MOLLET (Éléonore),; rue de la Monnaie, 7.;99;Étude d’atelier.;;
Mlle MOLLET (Éléonore),; rue de la Monnaie, 7.;100;L’enfance de Callot. Copie du tableau du Musée de Nancy.;;
PAULUS (Charles),; place de Grève, 11.;101;Portrait du général de Préval, ;(étude).;
PAULUS (Charles),; place de Grève, 11.;102;Id. de M. B.;;
PAULUS (Charles),; place de Grève, 11.;103;Id. de M. L. P.;;
PIERRE (René),; rue des Michottes, 3.;104;Portrait de Mlle ***.;;
PIERRE (René),; rue des Michottes, 3.;105;Id. de M. P., ;(à la plume).;
ROLLIN.;;106;Visitation de Sainte-Marie aux Vierges, ;(à la plume). D'après un tableau attribué à Rottenhamd, de l’ancienne école Vénitienne, que l’on peut voir chez M. Rollin, rue des Ponts, 50. La scène se passe sur des nuages. La présence de Marie immaculée semble suffire au bonheur des vierges mortelles, qui ont quitté les asiles consacrés à la pureté pour venir au-devant de la reine des cieux.;
RONDANI (Erminio).;;107;Portrait de Monseigneur.;;
RONDANI (Erminio).;;108;Id. de M. C. 108 bis. Id. de M. ***.;;
RONDANI (Erminio).;;109;Repos en Égypte.;;
RONDANI (Erminio).;;110;Adoration des Bergers.;;
RONDANI (Erminio).;;111;Brennus et Camille, ;(aquarelle);
ROUSSEL, de Verdun.;;112;L’enfance de Silène.;;
Mme ROUCHIER,; née Jaser.;113;Un cadre de portraits, contenant ceux de M. et Mme de R., ;contenant ceux de M. et Mme de R., (aquarelle). de Mme et Mlle de P., idem. de M. H., (miniature), de Mme de L., idem. Un Enfant, aquarelle.;
SÉLIGMANN.;;114;Deux Buveurs, ;(pastel).;
SÉLIGMANN.;;115;Le Joueur de violon, idem.;idem.;
SÉLIGMANN.;;116;La Réflexion, ;(dessin à l’estompe).;
Mme STUREL (Octavie),; née PEIGNEZ, à Metz.;117;L’Album, ;(composition au pastel).;
Mme STUREL (Octavie),; née PEIGNEZ, à Metz.;118;Roses Trémières et Liserons, idem.;idem.;
Mme STUREL (Octavie),; née PEIGNEZ, à Metz.;119;Pivoines et Iris, idem.;idem.;
Mme STUREL (Octavie),; née PEIGNEZ, à Metz.;120;Fruits.;;
DE SAINT-GERMAIN.;Cinq Paysages à l’huile , sous les nos 121, 122, 123,;124;et 125.;;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;126;L’arrivée de Jacob en Égypte, ;(dessin à la plume et à l'encre de Chine.;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;28;« Or, Jacob envoya Juda devant lui vers Joseph, pour l’aver¬;Jacob envoya Juda devant lui vers Joseph, pour l’aver¬;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;29;« Quand Jacob y fut arrivé, Joseph fit mettre les chevaux à;Joseph fit mettre les chevaux à;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;127;Le Pater, genre de peinture manuscrite sur peau de vélin.;genre de peinture manuscrite sur peau de vélin.;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;128;Salvator mundi.;;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;129;La Vierge, l’enfant Jésus et Saint Jean, peint sur bois.;l’enfant Jésus et Saint Jean, peint sur bois.;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;130;Andromède.;;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;131;Ecce Homo, ;(encre de Chine).;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;132;Mater dolorosa.;;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;133;La prédication, ;(intérieur).;
THORELLE (J.-J.); peintre et professeur de dessin, rue SaintGeorges, 7 bis.;134;La procession dans le cloître, idem.;idem.;
WAULTRIN.;;135;Vue prise au vieux Château, environs de Bade.;environs de Bade.;
WAULTRIN.;;136;Entrée du vieux Château de Bade.;;
WAULTRIN.;;137;Promenade en bateau.;;
WAULTRIN.;;138;Le Meunier de Sans-Souci.;;
VIARD aîné.;;139;Statue de la Vierge.;;
VIARD aîné.;;140;M. le curé de St-Clément, ;(statuette).;
VIARD aîné.;;141;Mme T., ;(buste).;
VIARD aîné.;;142;M V. jeune, idem.;idem.;
VIARD aîné.;;143;Deux Médaillons.;;
VIARD (Giorné),; sculpteur à Paris.;144;Buste de M. G.;;
VIARD (Giorné),; sculpteur à Paris.;145;Id. du général Drouot.;;
CLERC (Prosper).;;146;Jeune Pâtre, ;(demi-statue), étude.;
Mlle BARTHELEMY,; rue des Quatre-Églises, 6.;147;Paul et Virginie, ;(Aquarelle).;
