Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
ADELSWARD (d’);Chez Mme Cadart, boulevard Haussmann, 56, Paris.;6;Effet de lune.;;
ALLONGÉ (Auguste),;Né à Paris, élève de M. Léon Cogniet. Médaille d’or à l’Exposition des Arts appliqués à l’industrie, Médaille d’or à Saint-Germain-en-Laye, et d’argent à diverses Expositions de province Chez M. Dangleterre, rue de Seine, 42, Paris.;7;Paysage.;;
ANGRAND (Charles),;Né à Criquetot-sur-Ouville, élève de l’Académie de Peinture de Rouen, et de M. Zacharie. Au Lycée Corneille, Rouen.;8;Fleurs des champs.;;
ANNALY,;Né à Bordeaux, élève de MM. Auguin et Baudit. Rue de l’Eglise Saint-Seurin, 14, Bordeaux.;9;Après la pluie ;(Tarn).;
AUGUIN (Louis-Augustin),;Né à Rochefort, élève de Jules Cogniet et de Corot. Grande médaille, d’honneur. La Rochelle 1866, Grande Médaille, Exposition universelle Vienne (Autriche), 1873, 1ere Médaille d’or, Angoulême, 1876, Mention honorable, salon de Paris, 1877, Médailles à Niort, Toulouse, Montpellier, Lyon, Moulins, etc. Rue de la Course, 67, Bordeaux.;10;Les ombrages de juillet.;;
AUGUIN (Louis-Augustin),;Né à Rochefort, élève de Jules Cogniet et de Corot. Grande médaille, d’honneur. La Rochelle 1866, Grande Médaille, Exposition universelle Vienne (Autriche), 1873, 1ere Médaille d’or, Angoulême, 1876, Mention honorable, salon de Paris, 1877, Médailles à Niort, Toulouse, Montpellier, Lyon, Moulins, etc. Rue de la Course, 67, Bordeaux.;11;La Charente, près Cognac.;près Cognac.;
AUGUIN (Louis-Augustin),;Né à Rochefort, élève de Jules Cogniet et de Corot. Grande médaille, d’honneur. La Rochelle 1866, Grande Médaille, Exposition universelle Vienne (Autriche), 1873, 1ere Médaille d’or, Angoulême, 1876, Mention honorable, salon de Paris, 1877, Médailles à Niort, Toulouse, Montpellier, Lyon, Moulins, etc. Rue de la Course, 67, Bordeaux.;12;Les derniers beaux jours.;;
AUBEL (d’),;Chez Mme Cadart, Boulevard Haussmann, 56, Paris.;13;Nature morte.;;
AUBEL (d’),;Chez Mme Cadart, Boulevard Haussmann, 56, Paris.;14;Un coin de pré.;;
AUTEROCHE (Fugénie VENOT d’),;Professeur de dessin des écoles du 13e arrondissement de la ville de Paris. Née à Paris, élève de M. Léon Cogniet. Médaille à Londres, 1874, Médaille d’argent, Compiègne, 1877. Rue Fontaine-Saint-Georges, 42, Paris.;15;Prunes de Monsieur.;;
AUTEROCHE (Fugénie VENOT d’),;Professeur de dessin des écoles du 13e arrondissement de la ville de Paris. Née à Paris, élève de M. Léon Cogniet. Médaille à Londres, 1874, Médaille d’argent, Compiègne, 1877. Rue Fontaine-Saint-Georges, 42, Paris.;16;Prunes de Reine Claude.;;
BALLIN (Auguste-Charles-Alfred),;Né à Boulogne-sur-Mer, élève de M. J. Noël. Chez Mme Cadart, Boulevard Haussmann, 56, Paris.;17;Un combat naval, en 1800.;en 1800.;
BANCE (Albert),;Chez M. Dubus. Boulevard Malesherbes, 60, Paris.;18;Un banc de moules à Villerville ;(Calvados).;
BARIL (Alphonse),;Né à Amiens 3 Médailles argent et bronze, rappel et diplôme d’hon- neur, à différentes Expositions des Amis-des-Arts de la Somme. Rue de la Bibliothèque, 6, Amiens.;19;Intérieur de ferme en Picardie.;;
BARIL (Alphonse),;Né à Amiens 3 Médailles argent et bronze, rappel et diplôme d’hon- neur, à différentes Expositions des Amis-des-Arts de la Somme. Rue de la Bibliothèque, 6, Amiens.;20;Vue prise à Dreuil ;(Somme).;
BARILLOT (Léon),;Né à Montigny-lès-Metz (Lorraine) élève de MM. Cathelinaux et Bonnat. Rue de la Tour d’Auvergne, 16, Paris.;21;La porte à bateaux de Villiers-sur¬ Morin.;;
BARILLOT (Léon),;Né à Montigny-lès-Metz (Lorraine) élève de MM. Cathelinaux et Bonnat. Rue de la Tour d’Auvergne, 16, Paris.;22;Le gué de Las-Landies, le jour du mar¬ ché d’Aurillac.;le jour du marché d’Aurillac.;
BARRIAS (Félix),;Né à Paris, élève de Léon Cogniet. Prix de Rome, 1844, 3e médaille, salon 1847, 1re médaille, 1852, 2e médaille, Expositio,n universelle, 1855. Chevalier de la Légion d’honneur, 1859, hors concours. Rue de Bruxelles, 34, Paris.;23;Les fleurs de la patrie.;;
BARRIAS (Félix),;Né à Paris, élève de Léon Cogniet. Prix de Rome, 1844, 3e médaille, salon 1847, 1re médaille, 1852, 2e médaille, Expositio,n universelle, 1855. Chevalier de la Légion d’honneur, 1859, hors concours. Rue de Bruxelles, 34, Paris.;24;La Fée aux perles.;;
